"id","acronym","name","description","url","created_at","updated_at"
"1","AASMA","Agentes Autónomos e Sistemas Multi-Agente","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332796","2025-04-25 06:52:01","2025-04-25 06:52:01"
"2","AAva","Algoritmos Avançados","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778794","2025-04-25 06:52:01","2025-04-25 06:52:01"
"3","ACIC","Aplicações e Computação para a Internet das Coisas","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332813","2025-04-25 06:52:01","2025-04-25 06:52:01"
"4","ADSI","Administração de Dados e Sistemas de Informação","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332819","2025-04-25 06:52:01","2025-04-25 06:52:01"
"5","AEmp","Arquitetura Empresarial","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332824","2025-04-25 06:52:01","2025-04-25 06:52:01"
"6","AGISIt","Administração e Gestão de Infraestruturas e Serviços de It","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332822","2025-04-25 06:52:01","2025-04-25 06:52:01"
"7","AID","Análise e Integração de Dados","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778812","2025-04-25 06:52:01","2025-04-25 06:52:01"
"8","ALC","Algoritmos para Lógica Computacional","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778790","2025-04-25 06:52:01","2025-04-25 06:52:01"
"9","AS","Arquitectura de Software","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778807","2025-04-25 06:52:01","2025-04-25 06:52:01"
"10","AVT","Animação e Visualização Tridimensional","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332799","2025-04-25 06:52:01","2025-04-25 06:52:01"
"11","AmbInt","Ambientes Inteligentes","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332815","2025-04-25 06:52:01","2025-04-25 06:52:01"
"12","Apre","Aprendizagem Profunda (Dei)","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778799","2025-04-25 06:52:01","2025-04-25 06:52:01"
"13","BioComp","Biologia Computacional","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778797","2025-04-25 06:52:01","2025-04-25 06:52:01"
"14","CC","Computabilidade e Complexidade","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778793","2025-04-25 06:52:01","2025-04-25 06:52:01"
"15","CCEIC-I","Competências Comunicacionais em Engenharia Informática e de Computadores I","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332830","2025-04-25 06:52:01","2025-04-25 06:52:01"
"16","CCEIC-II","Competências Comunicacionais em Engenharia Informática e de Computadores II","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332831","2025-04-25 06:52:01","2025-04-25 06:52:01"
"17","CCU","Conceção Centrada no Utilizador","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332800","2025-04-25 06:52:01","2025-04-25 06:52:01"
"18","CD","Ciência de Dados","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778798","2025-04-25 06:52:01","2025-04-25 06:52:01"
"19","CGJ","Computação Gráfica para Jogos","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332805","2025-04-25 06:52:01","2025-04-25 06:52:01"
"20","CMU","Computação Móvel e Ubíqua","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332816","2025-04-25 06:52:01","2025-04-25 06:52:01"
"21","CNV","Computação em Nuvem e Virtualização","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778814","2025-04-25 06:52:01","2025-04-25 06:52:01"
"22","CPD","Computação Paralela e Distribuída","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778795","2025-04-25 06:52:01","2025-04-25 06:52:01"
"23","CPS","Criptografia e Protocolos de Segurança","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778804","2025-04-25 06:52:01","2025-04-25 06:52:01"
"24","CRC","Ciência de Redes Complexas","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778792","2025-04-25 06:52:01","2025-04-25 06:52:01"
"25","CSF","Ciber Segurança Forense","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/845953938490320","2025-04-25 06:52:01","2025-04-25 06:52:01"
"26","CV","Computação Visual","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332802","2025-04-25 06:52:01","2025-04-25 06:52:01"
"27","DAD","Desenvolvimento de Aplicações Distribuídas","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332821","2025-04-25 06:52:01","2025-04-25 06:52:01"
"28","DDRS","Desempenho e Dimensionamento de Redes e Sistemas","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332826","2025-04-25 06:52:01","2025-04-25 06:52:01"
"29","DJ","Design de Jogos","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332806","2025-04-25 06:52:01","2025-04-25 06:52:01"
"30","EDI","Estúdio de Design de Interação","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332814","2025-04-25 06:52:01","2025-04-25 06:52:01"
"31","ESLE","Engenharia de Sistema de Larga Escala","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332827","2025-04-25 06:52:01","2025-04-25 06:52:01"
"32","ETPN","Engenharia e Tecnologia de Processos de Negócio","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332817","2025-04-25 06:52:01","2025-04-25 06:52:01"
"33","EspSoft","Especificação de Software","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778808","2025-04-25 06:52:01","2025-04-25 06:52:01"
"34","FSI","Fundamentos de Sistemas de Informação","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332823","2025-04-25 06:52:01","2025-04-25 06:52:01"
